DIRECTORATE,SUB DIRECTORTE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,All Care (South Wales) Limited,948.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,All Care (South Wales) Limited,"1,167.69",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,GJ Care & Training Limited,"3,574.60",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216072,All Care (South Wales) Limited,753.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,Caring Companions Limited,579.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,All Care (South Wales) Limited,584.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,Care In Wales Limited T/A Care in the Vale,813.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,All Care (South Wales) Limited,838.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,All Care (South Wales) Limited,943.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,216179,Cherish Cymru Limited,"1,856.51",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,All Care (South Wales) Limited,573.42,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,Heidi Christoforato t/a Churchfields Home Care,598.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,Heidi Christoforato t/a Churchfields Home Care,676.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,All Care (South Wales) Limited,768.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,GJ Care & Training Limited,769.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218313,GJ Care & Training Limited,637.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,549.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Care In Wales Limited T/A Care in the Vale,563.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Parkrow Care Limited,688.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Care In Wales Limited T/A Care in the Vale,701.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Care In Wales Limited T/A Care in the Vale,729.54,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,101134,A & R Contract Cleaning Specialist Limited,-621.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,101134,A & R Contract Cleaning Specialist Limited,"1,097.41",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,101141,Dragon Air Conditioning Limited,550.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,102593,HTL Windows & Doors Limited,716.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,102593,CCS Media Limited,"4,650.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,10/06/2020,140121,The Review Team Limited,"29,120.00",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,10/06/2020,154401,Big Fresh Catering Company Limited,"4,588.59",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,10/06/2020,201851,NonStop Consulting Limited,"1,083.60",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,10/06/2020,212791,ABM Catering for Leisure Limited,724.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215191,NonStop Consulting Limited,"1,086.30",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Cwtch Care Limited,562.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,588.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,632.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,686.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Hafod Housing Association Limited,810.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218310,Celtic Community Services Limited,637.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218310,Celtic Community Services Limited,871.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,218419,Cwtch Care Limited,"1,357.62",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,10/06/2020,239281,PayPoint Network Limited,"4,252.55",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,E4Law Limited t/a Lextox,890.58,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,E4Law Limited t/a Lextox,"1,955.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260130,Llamau Limited,"1,075.22",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260130,Llamau Limited,"1,077.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260130,Llamau Limited,"1,077.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260130,Llamau Limited,"1,077.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260130,Pobl Care & Support Limited,"6,822.22",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260210,NonStop Consulting Limited,"1,083.60",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260210,NonStop Consulting Limited,"1,083.60",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260210,NonStop Consulting Limited,"1,213.04",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260215,Neal Social Care Limited,"1,395.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260250,St Aubin Nurseries Limited,615.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260250,Neal Social Care Limited,"1,241.93",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,158.45",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,189.50",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,193.70",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,287.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,443.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,443.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,443.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,453.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260260,Frontline Staffing Limited,"1,566.73",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325000,Kordel Limited,775.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Tarmac Trading Limited,566.25,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Tarmac Trading Limited,690.40,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Tarmac Trading Limited,693.53,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Tarmac Trading Limited,695.09,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Garth Plant Hire Limited,868.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325368,Kordel Limited,"1,552.37",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325369,Cemex UK Materials Limited,714.12,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325369,Cemex UK Materials Limited,720.64,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325369,Kordel Limited,"1,552.37",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325369,Kordel Limited,"1,552.37",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325560,Centregreat Limited,"22,406.25",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325644,Centregreat Limited,"57,336.94",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,10/06/2020,352730,Hexion UK Limited,"13,446.36",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,10/06/2020,403180,Herongrange Security & Systems Limited,"21,420.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA REPAIRS,10/06/2020,409103,Heatforce (Wales) Limited,"13,164.62",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA REPAIRS,10/06/2020,409103,Heatforce (Wales) Limited,"15,935.44",Revenue
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,10/06/2020,845003,Steddy Limited,"3,000.00",Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,10/06/2020,845003,Balneo Bathrooms Limited,"6,608.95",Capital
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,10/06/2020,102604,Bridgend County Borough Council,"4,071.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,10/06/2020,403211,Bridgend County Borough Council,"3,632.70",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,325960,Western Power Distribution LLP,815.22,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,102593,Dr Coral Harper t/a Cwtch Consulting,"3,285.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,Rhys Jones,540.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,Angela Ricciardi,840.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,Sara Lewis,924.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,Susan Jenkins,"1,320.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260050,Susan Jenkins,"1,560.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,10/06/2020,365784,Road Safety Wales,715.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,101315,New Directions (Education) Limited,930.70,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,101315,Teaching Personnel Limited,"1,463.45",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,102593,Teaching Personnel Limited,544.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10/06/2020,102593,Teaching Personnel Limited,544.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,217909,April Complete Care Solutions Limited,854.10,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260215,Prospero Recruitment Limited,777.25,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,209159,Hebron Hall Limited,526.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,574.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,656.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/06/2020,215489,Vale Care Services Limited,908.32,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260220,Hannah Rogers t/a Equine Therapy Wales,600.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,10/06/2020,260140,West London YMCA,"1,621.56",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,215022,Willowmere Home Care Agency Limited,840.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,215022,Willowmere Home Care Agency Limited,"5,806.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,215489,Willowmere Home Care Agency Limited,"2,635.65",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Manhire Jobshop Limited,600.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Manhire Jobshop Limited,612.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Manhire Jobshop Limited,700.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Perform & Grow Limited,750.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Unique Flooring (Wales) Limited,"1,000.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101025,Investec Asset Finance Plc,"1,061.27",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"-1,126.15",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"-1,096.14",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"-1,044.93",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-981.99,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-953.12,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-932.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-855.31,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-844.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-763.81,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,-737.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,Culross Management Consultants Limited t/a Culross Solutions,800.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,Bristol Fruit Sales (Market) Ltd t/a Total Produce (Cardiff),939.22,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,943.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,943.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,943.77,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,954.98,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,974.98,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,974.98,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,977.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"1,042.35",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"1,052.35",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"1,263.96",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,EDF Energy Plc,"1,302.55",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101261,The Assessment Foundation CIC,"1,230.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101317,Glen Cleaning Company Limited,"1,397.76",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,217909,A2B (South Wales) Limited,961.82,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,217909,Ategi Limited,"1,583.64",Revenue
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,11/06/2020,303950,ADC Fire Systems Limited,586.40,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,11/06/2020,325894,J9 Limited T/A Barriers Direct,582.38,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11/06/2020,333013,Ace Site Services (UK) Limited,850.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11/06/2020,333550,Ace Site Services (UK) Limited,"5,080.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11/06/2020,333610,Ace Site Services (UK) Limited,680.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"3,566.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"5,349.75",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Llamau Limited,560.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,11/06/2020,407120,Heatforce (Wales) Limited,"2,075.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,11/06/2020,421230,Computacenter (UK) Limited,726.73,Revenue
DIRECT POLICY,GF GRANTS,11/06/2020,465201,Valeplus (Cymru) & Valeplus Extra,"2,552.00",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,11/06/2020,471921,Arrow County Supplies Limited,"1,650.00",Revenue
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,11/06/2020,842067,Fusion Electrical & Building Services Engineering Limited,"1,633.50",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,11/06/2020,842067,Fusion Electrical & Building Services Engineering Limited,"1,851.30",Capital
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,11/06/2020,100404,Cardiff County Council,"4,743.41",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,11/06/2020,239011,Cardiff County Council,"5,504.85",Revenue
DIRECT ENVIRONMENT AND HOUSING,TRADING - BUILDING,11/06/2020,303000,Cardiff County Council,"3,319.85",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,11/06/2020,333220,Cardiff County Council,910.81,Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,11/06/2020,349702,Cardiff County Council,"9,152.29",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,11/06/2020,360002,Cardiff County Council,611.26,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SERVICES (MILES),11/06/2020,402005,Cardiff County Council,"1,595.54",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,11/06/2020,407100,Cardiff County Council,"1,077.78",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,11/06/2020,420201,Cardiff County Council,"3,280.39",Revenue
DIRECT POLICY,GF GRANTS,11/06/2020,465201,Barry Town Council,"1,625.24",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,11/06/2020,471900,Cardiff County Council,"13,420.95",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,102593,David S Jarman & Ptn t/a Solution Express,659.70,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405100,Duncan M Evans,802.33,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101094,High Street Primary School Fund,"2,300.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101055,Bay Resourcing Limited,562.81,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,11/06/2020,101094,New Directions (Education) Limited,795.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,11/06/2020,303910,Hays Specialist Recruitment Limited,530.72,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,11/06/2020,303910,Hays Specialist Recruitment Limited,654.55,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,11/06/2020,102652,Skybound Therapies Limited,"3,225.00",Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,11/06/2020,102652,Skybound Therapies Limited,"3,356.25",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,11/06/2020,405004,Heather A Tucker T/A Tadross Hotel,"5,599.90",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,217909,Freeways Trust,"2,702.80",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,217909,Freeways Trust,"2,702.80",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/06/2020,217909,Freeways Trust,"2,702.80",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,11/06/2020,260160,St Davids Childrens Society t/a AFA Cymru,"10,333.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,11/06/2020,260160,St Davids Childrens Society t/a AFA Cymru,"32,063.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,12/06/2020,100303,A-Day Consultants Limited T/A Academics,528.48,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,12/06/2020,100303,A-Day Consultants Limited T/A Academics,761.55,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,12/06/2020,100303,A-Day Consultants Limited T/A Academics,"1,290.03",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12/06/2020,101030,A-Day Consultants Limited T/A Academics,"1,817.20",Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,12/06/2020,102636,Empowering Learning Limited,521.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,12/06/2020,102636,Empowering Learning Limited,"1,460.55",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,12/06/2020,103030,A-Day Consultants Limited T/A Academics,537.80,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12/06/2020,104385,Elliott Electrical Limited,"1,280.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12/06/2020,104385,GLS Educational Supplies Limited t/a WNW,"1,931.74",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12/06/2020,140131,Matrix SCM Limited,"123,328.18",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,12/06/2020,216002,Home Chairs UK Limited,"5,280.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Care Management Group Limited,"18,436.92",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Cartrefi Cymru Co-Operative Limited,"23,217.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Innovate Trust Limited,"64,761.62",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Care Management Group Limited,"78,078.41",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Care Management Group Limited,"78,078.41",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Cartrefi Cymru Co-Operative Limited,"90,000.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Cartrefi Cymru Co-Operative Limited,"90,000.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Cartrefi Cymru Co-Operative Limited,"98,986.37",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,12/06/2020,217541,Innovate Trust Limited,"294,492.02",Revenue
