Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,14-Nov-2018,140121,Computacenter (UK) Limited,"2,282.78",,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,Brake Bros Limited,"11,011.45",,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,Castell Howell Foods Limited,"10,577.98",,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,Chapple & Jenkins Limited,"2,081.05",,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,Peter's Food Service Limited,"1,982.23",,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,Phil-a-Cup Limited T/A Argies Coffee,757.24,,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,The Real Wrap Co. Limited,882.45,,
DIRECT LEARNING AND SKILLS,CATERING,14-Nov-2018,150401,WR Bishop (Tonyrefail) Limited,"2,831.96",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,14-Nov-2018,209157,Family Links (Educational Programmes),"2,000.00",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,212731,Corona Energy Retail 4 Limited,717.31,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,212741,Corona Energy Retail 4 Limited,561.64,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,212781,Corona Energy Retail 4 Limited,"1,222.92",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,212791,Corona Energy Retail 4 Limited,863.73,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,215803,Corona Energy Retail 4 Limited,603.68,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303900,LNC Floor Coverings Limited,712.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303900,M Thomas Water Services Limited,820.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303900,Metro Rod Limited,810.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303901,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"2,904.20",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303901,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"2,753.70",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303901,Handicare Accessibility Limited,"3,725.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303901,Handicare Accessibility Limited,"3,676.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303901,Thyssen-Krupp Access Limited T/A Encasa,"4,370.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303905,OpenView Security Solutions Limited,"3,210.94",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303905,OpenView Security Solutions Limited,"2,053.40",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303905,OpenView Security Solutions Limited,511.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303905,OpenView Security Solutions Limited,"1,671.86",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303910,WWS 1987 Limited T/A Welsh Window Systems,650.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303931,Eden Landscapes Limited,"1,035.14",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303931,G.P.H.I.T (Integrated Services) Limited,"1,030.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303931,G.P.H.I.T (Integrated Services) Limited,"2,136.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303931,Hi Tech Industrial Roofing Limited,875.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303931,LNC Floor Coverings Limited,597.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303950,MSS Consulting Limited,802.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,304103,Channel Electrical Systems Limited,"4,275.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,304103,Channel Electrical Systems Limited,594.63,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,305772,G.P.H.I.T (Integrated Services) Limited,"9,950.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,305778,B & B Industrial Doors (UK) Limited,950.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,305778,G.P.H.I.T (Integrated Services) Limited,"7,535.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,305782,Taylor Decorating Limited,"2,396.40",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325350,Calibre Contracting Limited,"1,542.75",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325351,Calibre Contracting Limited,"2,050.20",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325351,Calibre Contracting Limited,"1,948.71",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325352,Calibre Contracting Limited,"1,542.75",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325555,Calibre Contracting Limited,571.63,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325560,Centregreat Limited,"23,668.90",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325562,Calibre Contracting Limited,526.35,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325600,Calibre Contracting Limited,726.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325644,Centregreat Limited,"43,345.62",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325790,Calibre Contracting Limited,981.85,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325790,Calibre Contracting Limited,867.52,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325852,Glamorgan White Lining Limited,"8,058.01",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325852,Glamorgan White Lining Limited,"1,271.87",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325852,Glamorgan White Lining Limited,583.62,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,325852,Glamorgan White Lining Limited,"1,157.93",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,14-Nov-2018,333600,Complete Weed Control (South Wales) Limited,"1,972.50",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,341220,Cowbridge Compost Limited,"8,020.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,365803,Orbis Education and Care Limited,"1,425.00",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Nov-2018,407215,Corona Energy Retail 4 Limited,"1,119.55",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Nov-2018,407240,Corona Energy Retail 4 Limited,679.42,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Nov-2018,407245,Corona Energy Retail 4 Limited,702.10,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Nov-2018,407260,Corona Energy Retail 4 Limited,743.62,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Nov-2018,420221,Auditware Systems Limited,"1,500.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Nov-2018,422100,Corona Energy Retail 4 Limited,"1,880.42",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,14-Nov-2018,440010,Infographics Limited,720.00,,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,14-Nov-2018,812292,Willis Construction Limited,"6,174.03",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,14-Nov-2018,812299,Thornlink Limited T/A Vale Consultancy,"3,737.50",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,14-Nov-2018,831503,Centregreat Limited,"18,436.63",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,14-Nov-2018,831503,Glamorgan White Lining Limited,"1,843.90",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,14-Nov-2018,831503,Glamorgan White Lining Limited,"1,985.23",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,14-Nov-2018,831503,Glamorgan White Lining Limited,559.17,,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,14-Nov-2018,831503,Glamorgan White Lining Limited,"2,109.37",,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,14-Nov-2018,835383,Elliott Electrical Limited,"9,749.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"6,847.26",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"6,184.50",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"3,135.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"2,936.80",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"3,251.01",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,"4,046.50",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,604.17,,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842125,OpenView Security Solutions Limited,"9,284.70",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Nov-2018,842145,Curtins Consulting Limited,"1,280.00",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,ASW Property Services Limited,"10,797.37",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,Handicare Accessibility Limited,"4,560.00",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,R & M Williams Limited,"5,397.72",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,Steddy Limited,"5,444.40",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,Thyssen-Krupp Access Limited T/A Encasa,"4,330.00",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845003,Wessex Lift Co Limited,"10,255.00",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,14-Nov-2018,845132,Haire Landscape Consultants Limited,740.00,,
DIRECT CAPITAL DEVELOPMENT,CAPITAL COMM SAFE,14-Nov-2018,846001,Pinit Building & Civil Engineering Limited,"1,689.50",,
DIRECT CAPITAL POLICY,CAPITAL POLICY,14-Nov-2018,852527,Intervention Services Limited,"24,738.95",,
DIRECT CAPITAL POLICY,CAPITAL POLICY,14-Nov-2018,852527,Pinit Building & Civil Engineering Limited,"8,451.62",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,341180,Cardiff County Council,"1,440.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,341180,Cardiff County Council,"1,080.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,14-Nov-2018,341220,Cardiff County Council,"4,119.68",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,303900,Paul Robinson & Ptn T/A RM Scaffolding,640.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,218321,John Vincent O'Connell,"1,348.50",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Nov-2018,218321,Cardiff & Vale University Local Health Board,-776.95,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Nov-2018,101141,Celtic Teachers Limited,875.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Nov-2018,101145,Celtic Teachers Limited,"1,175.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Nov-2018,101305,Bay Resourcing Limited,941.42,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,14-Nov-2018,102604,New Directions (Education) Limited,569.18,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,14-Nov-2018,405305,James Andrews Recruitment Solutions Limited,906.50,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Nov-2018,102593,Emma Lougher t/a A Class Apart,"4,773.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,14-Nov-2018,305718,Elwyn J Kerslake t/a Woodland Electrical,"1,170.70",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,1st Grade Care Limited,532.70,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,1st Grade Care Limited,626.65,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,1st Grade Care Limited,582.40,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,1st Grade Care Limited,621.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Care (South Wales) Limited,614.02,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Care (South Wales) Limited,640.78,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Care (South Wales) Limited,618.94,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Care (South Wales) Limited,680.68,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Care (South Wales) Limited,658.84,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Saints DC Limited,694.10,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Saints DC Limited,662.28,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Saints DC Limited,627.96,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Saints DC Limited,588.94,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,All Saints DC Limited,669.86,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Annwyl Limited t/a Bluebird Care,655.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Annwyl Limited t/a Bluebird Care,666.68,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Annwyl Limited t/a Bluebird Care,732.21,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Annwyl Limited t/a Bluebird Care,608.80,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,690.95,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,635.32,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,618.29,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,618.77,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,216179,All Care (South Wales) Limited,730.06,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,216179,All Care (South Wales) Limited,614.44,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,216179,Hallows Care Limited T/A Hallows Care,597.79,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,217909,All Care (South Wales) Limited,505.29,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,218419,Annwyl Limited t/a Bluebird Care,889.68,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15-Nov-2018,100121,Capita Business Services Limited,"1,150.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101004,A & R Contract Cleaning Specialist Limited,"1,605.48",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101004,Gorilla Artificial Grass Limited,"1,200.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101007,Dwr Cymru Cyf,855.35,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101095,GBM Digital Technologies Limited,"9,760.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101095,GBM Digital Technologies Limited,"4,148.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101095,The Consortium for Purchasing and Distribution Limited,608.87,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Cardiff Homecare Limited,708.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,215489,Cardiff Homecare Limited,508.90,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,15-Nov-2018,300645,Tym Huckin Limited,750.00,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,15-Nov-2018,333510,Ace Site Services (UK) Limited,"1,600.00",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Nov-2018,352730,Hexion UK Limited,"11,890.58",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,15-Nov-2018,400050,Glamorgan Gem Limited,507.00,,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,15-Nov-2018,400050,Glamorgan Gem Limited,702.00,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Nov-2018,407114,IOTS (UK) Limited,"2,160.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,15-Nov-2018,422100,OCS Group UK Limited,612.85,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,15-Nov-2018,479050,Zurich Insurance Plc t/a Zurich Municipal - Imprest,"100,000.00",,
DIRECT CAPITAL LEARN AND SKILLS,#N/A,15-Nov-2018,812286,D & M Mechanical Engineers Limited,"2,600.00",,
DIRECT CAPITAL LEARN AND SKILLS,#N/A,15-Nov-2018,812287,D & M Mechanical Engineers Limited,"2,600.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,15-Nov-2018,842145,Professional Books Limited,513.15,,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,15-Nov-2018,842164,Spring Design Consultancy Limited,"3,000.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,15-Nov-2018,341180,Cardiff County Council,-540.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,102593,Dr Coral Harper t/a Cwtch Consulting,"6,000.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,15-Nov-2018,400050,David Evans - Solicitor,"5,300.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,15-Nov-2018,400050,Owen Thomas,"4,500.00",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,216179,April Complete Care Solutions Limited,922.66,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Nov-2018,217909,April Complete Care Solutions Limited,866.90,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,15-Nov-2018,405001,James Andrews Recruitment Solutions Limited,609.38,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Nov-2018,407118,James Andrews Recruitment Solutions Limited,"1,292.50",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Nov-2018,407119,Hays Specialist Recruitment Limited,"1,328.69",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Nov-2018,407119,Hays Specialist Recruitment Limited,637.89,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Nov-2018,407120,Hays Specialist Recruitment Limited,"1,005.49",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Nov-2018,101004,Nigel Martlew t/a Caring Coaches,"1,050.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,15-Nov-2018,460203,Barry Male Voice Choir,"1,500.00",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,750.68,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,571.55,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,544.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,544.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,609.01,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Caring Companions Limited,599.20,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,16-Nov-2018,101025,ACT Outdoors Limited,"-8,250.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,16-Nov-2018,101095,MML Marketing Limited,"2,294.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,16-Nov-2018,101285,WWS 1987 Limited T/A Welsh Window Systems,685.00,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,16-Nov-2018,120080,WF Howes Limited,783.00,,
DIRECT LEARNING AND SKILLS,GF CATERING,16-Nov-2018,154401,ABM Catering for Leisure Limited,"1,945.03",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,212791,ABM Catering for Leisure Limited,760.63,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,212791,HD Adcock (Nelson) Limited,527.14,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215121,Tunstall Healthcare (UK) Limited,"11,463.32",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),606.41,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,217909,Ategi Limited,"1,583.64",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,16-Nov-2018,341180,G.A.E. Smith (Holdings) Limited t/a Casepak,"1,673.87",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,16-Nov-2018,341220,G.A.E. Smith (Holdings) Limited t/a Casepak,"72,402.53",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,16-Nov-2018,365786,Easyway Minicoach Hire Limited,"7,648.62",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,16-Nov-2018,400063,Telefonica UK Limited t/a O2,"13,965.17",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,16-Nov-2018,405103,Welsh Housing Aid Limited t/a Shelter Cymru,"12,992.50",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,16-Nov-2018,407400,Llamau Limited,"18,000.00",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,16-Nov-2018,837115,Jones Brothers (Henllan) Limited,"1,769.63",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,16-Nov-2018,842125,Warrior Doors Limited,"6,541.07",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,16-Nov-2018,842125,Warrior Doors Limited,"6,541.07",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,16-Nov-2018,842125,Warrior Doors Limited,"8,486.29",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,16-Nov-2018,842125,Warrior Doors Limited,"6,541.07",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,16-Nov-2018,341123,Cardiff County Council,"22,607.25",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,16-Nov-2018,341500,Cardiff County Council,"37,075.40",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,16-Nov-2018,260050,Dr Gerald McCarthy & Associates,"2,313.96",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,16-Nov-2018,101094,PSC - Michael Thomas,500.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,16-Nov-2018,405100,Duncan M Evans,623.10,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,215489,Cardiff & Vale University Local Health Board,"6,250.13",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,217909,Cardiff & Vale University Local Health Board,"26,681.23",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,16-Nov-2018,217909,Cardiff & Vale University Local Health Board,"26,977.12",,
